GeneID,Hpb_1,Hpb_2,Hpb_3,Hpb_4,Hpb_5,Naive_1,Naive_2,Naive_3,Naive_4,Naive_5
MGP_BALBcJ_G0010380,4,2,2,0,4,2,6,0,0,10
MGP_BALBcJ_G0015043,0,0,0,0,0,0,2,0,0,0
MGP_BALBcJ_G0004741,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0016391,7119,6814,5889,2314,7016,6966,7089,6915,614,5954
MGP_BALBcJ_G0016180,138,84,96,196,81,79,81,73,51,73
MGP_BALBcJ_G0016496,985,647,887,1466,977,642,650,917,1703,1095
MGP_BALBcJ_G0016233,5327,3523,2890,2509,3010,2640,3144,2890,1493,2008
MGP_BALBcJ_G0016529,145,108,101,57,108,98,89,102,77,113
MGP_BALBcJ_G0000332,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0000544,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0000489,0,0,0,0,0,0,2,0,0,0
MGP_BALBcJ_G0000292,55,58,61,10,93,55,91,76,100,60
MGP_BALBcJ_G0016769,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0000528,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0037080,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0000376,60,71,41,0,60,75,86,40,8,36
MGP_BALBcJ_G0016040,1,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0000550,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0000386,2,0,0,0,0,0,2,0,0,0
MGP_BALBcJ_G0015993,917,1291,839,1313,980,1108,1713,1294,468,1253
MGP_BALBcJ_G0009991,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0015955,223,212,168,505,223,152,200,146,450,211
MGP_BALBcJ_G0005044,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0002783,9,4,11,0,6,6,4,6,0,2
MGP_BALBcJ_G0000466,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0002667,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0016133,1567,1358,1151,1968,1451,1363,1096,1138,1534,1212
MGP_BALBcJ_G0004779,13,7,5,0,13,12,8,7,0,7
MGP_BALBcJ_G0002633,4,0,2,0,5,0,3,0,0,6
MGP_BALBcJ_G0002694,21,23,19,62,28,31,28,31,6,23
MGP_BALBcJ_G0016343,0,0,0,0,0,0,2,0,0,0
MGP_BALBcJ_G0000465,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0000662,4,1,2,0,5,9,0,10,0,0
MGP_BALBcJ_G0037196,1,1,6,0,0,2,0,2,0,0
MGP_BALBcJ_G0000420,2,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0004780,0,0,4,0,0,0,0,0,6,0
MGP_BALBcJ_G0015814,388,300,527,608,302,223,310,284,170,232
MGP_BALBcJ_G0004940,2,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0016387,2,0,2,0,2,0,2,1,0,0
MGP_BALBcJ_G0000560,2,10,9,0,9,6,8,10,0,6
MGP_BALBcJ_G0016242,4,2,2,0,6,2,0,6,0,20
MGP_BALBcJ_G0016273,5,2,7,0,7,2,7,10,2,4
MGP_BALBcJ_G0015835,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0016311,1553,1147,1507,2566,1199,1331,1402,1228,2396,1136
MGP_BALBcJ_G0004949,0,0,0,0,4,10,0,3,0,2
MGP_BALBcJ_G0039921,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0016395,2252,2338,2145,802,2663,2634,2357,2297,367,2280
MGP_BALBcJ_G0037106,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0015796,178,157,128,1352,201,185,143,125,526,130
MGP_BALBcJ_G0000310,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0000699,2,2,0,0,0,4,0,0,0,0
MGP_BALBcJ_G0009945,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0010303,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0007638,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0016527,2658,2274,2066,4380,2478,2225,2261,2241,2340,1942
MGP_BALBcJ_G0000377,0,1,0,0,0,0,0,1,0,0
MGP_BALBcJ_G0016517,1917,1801,1738,4678,1843,1627,1693,1676,2645,1596
MGP_BALBcJ_G0016864,110,51,141,158,76,41,38,35,0,37
MGP_BALBcJ_G0004807,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0038361,0,0,0,0,0,0,0,0,0,0
