"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0002181","cytoplasmic translation",138,-0.762541925047072,-2.43832067135731,3.52539915258621e-19,2.23862846189224e-15,2.01467284204111e-15,2450,"tags=59%, list=11%, signal=53%","67204/55944/319195/54709/213541/68184/234734/68028/27367/67891/268449/217715/22608/20492/66480/27370/19896/209354/267019/19941/27207/68436/100503670/269261/27176/67115/68052/26451/20088/75617/11837/78294/20091/67186/20005/13667/67097/19933/20115/19921/20055/20104/69674/19934/19946/20042/76808/20116/20084/20103/270106/67427/19944/56040/65019/66475/19951/67945/67671/27050/20085/20054/67025/22121/26961/19943/19942/19982/57808/22186/20068/66483/67248/66481/76846/16898/20044/114641/54217/20090/54127/19981"
"GO:0009060","aerobic respiration",169,-0.727480092407661,-2.40236882943608,1.05808155177328e-18,3.09968924555595e-15,2.78959186309544e-15,1991,"tags=52%, list=9%, signal=48%","17993/70383/11651/12858/66826/66945/14194/14467/64384/72900/170718/12869/70316/26914/12866/235339/66142/11950/103172/66046/17449/11946/226646/66694/11947/22273/71679/66925/67472/66377/225887/66416/68197/56327/12534/28080/67267/11958/69875/102060/269951/20463/56451/107197/66128/67530/12867/66043/11957/66218/57423/67680/66383/67126/67130/66576/12868/66495/214917/78330/68375/57320/66916/75406/66445/22272/595136/66414/68194/66152/68077/14004/17991/17995/104130/12857/67892/12865/66091/67264/68342/67184/68202/12850/230075/54405/407785/66594"
"GO:0042254","ribosome biogenesis",300,-0.626510831841412,-2.20877970129071,1.46442011601068e-18,3.09968924555595e-15,2.78959186309544e-15,2748,"tags=38%, list=12%, signal=33%","101612/74112/67920/68083/140546/69072/20826/69163/67493/19988/75593/68979/66138/448850/72831/66711/67755/224823/59014/18114/78581/68017/213541/72344/53414/13871/13205/78651/268449/68327/229504/52521/236732/28126/217038/68533/69713/67236/108707/67941/74778/14113/69902/69126/52530/30946/271842/66164/69821/225215/67619/227656/19896/66362/70078/20935/24014/267019/71952/19941/27207/209011/100503670/27176/67115/68052/20227/110954/83485/20088/66229/109075/72614/50529/75617/11837/65961/68147/57444/14791/20091/68845/235036/18150/20115/20055/20104/102462/20042/66181/20116/20103/74097/66538/234384/66475/16418/68077/67671/117109/20085/20054/67025/57294/19942/57808/20068/66481/76846/20044/66448/66489/54127"
"GO:0006119","oxidative phosphorylation",123,-0.777839003409375,-2.4516434101085,3.67924720293378e-18,5.84080493465738e-15,5.2564823854546e-15,1851,"tags=61%, list=8%, signal=56%","17993/12858/66826/66945/14467/72900/12869/70316/26914/12866/66142/11950/103172/66046/11946/226646/66694/11947/22273/71679/66925/66377/225887/66416/68197/12534/28080/67267/11958/69875/102060/20463/107197/67530/12867/66043/11957/66218/57423/67680/66383/67126/67130/66576/12868/66495/214917/78330/68375/57320/66916/75406/66445/22272/595136/66414/68194/66152/14004/17991/17995/104130/12857/67892/12865/66091/67264/68342/67184/68202/12850/230075/54405/407785/66594"
"GO:0045333","cellular respiration",222,-0.659045347310873,-2.27369937040425,1.92692195601465e-16,2.44719088413861e-13,2.20237037877969e-13,2039,"tags=45%, list=9%, signal=41%","246729/17993/68002/70383/11651/12858/66826/66945/14194/14467/20656/64384/72900/170718/12869/70316/26914/12866/235339/66142/11950/103172/66046/17449/11946/226646/66694/11947/22273/71679/66925/67472/66377/225887/66416/68197/56327/12534/28080/67267/11958/69875/102060/269951/20463/56451/107197/66128/67530/12867/66043/11957/52637/66218/57423/67680/66383/67126/56857/67130/66494/66576/12868/66495/12028/214917/78330/68375/57320/227731/66916/67885/75406/66445/22272/595136/66414/68194/66152/68077/14004/17991/17995/104130/12857/110826/67892/12865/66091/67264/68342/67184/68202/12850/72170/230075/54405/407785/66594"
"GO:0140053","mitochondrial gene expression",160,-0.696687897347273,-2.2769870234008,1.22611658602726e-15,1.29764005354552e-12,1.16782227114772e-12,3852,"tags=60%, list=17%, signal=50%","68291/77721/224805/70120/64657/52575/67036/68537/28028/68565/107732/72181/107734/216151/65111/21780/320720/52443/107733/15115/212508/60441/56284/74600/64659/69163/27397/66845/75593/68735/69527/66230/76366/121022/21379/67308/27395/66966/66292/216767/64384/232536/64658/101122/66258/380601/14548/66399/353242/67707/103172/66419/15108/94254/64656/69821/66416/18120/66077/66407/66587/67267/83485/102060/66121/50529/94064/67994/67681/19935/94066/24030/59016/68572/68611/67840/68836/170826/27398/66047/66493/52469/70207/64660/234384/78523/108853/94065/99045/67212/56282/94067/68463/66242/66448/79044"
"GO:0022613","ribonucleoprotein complex biogenesis",414,-0.551562189475951,-1.99559844391571,2.96509368698174e-15,2.68976355890486e-12,2.42067573332689e-12,3833,"tags=39%, list=17%, signal=33%","28109/66446/66249/19655/53817/223499/67205/231769/78688/66978/14105/67390/67148/276919/27756/57905/67973/60321/57315/107732/66580/100609/23992/53975/72181/17089/229937/20901/68731/101612/74112/67920/68083/140546/69072/20826/69163/67439/67493/19988/75593/20815/68979/66138/67204/55944/448850/72831/66711/67959/67755/224823/59014/18114/78581/68017/213541/68184/21357/20595/72344/53414/13871/13205/78651/268449/20638/68327/229504/52521/236732/28126/217038/68533/20222/69713/67236/108707/67941/74778/14113/69902/69126/78784/52530/30946/271842/66164/67332/69821/53890/225215/67619/227656/19896/66362/70078/20935/24014/267019/71952/19941/27207/209011/100503670/27176/67115/68052/20227/56844/110954/83485/20088/66229/109075/72614/50529/75617/11837/65961/68147/57444/14791/20091/68845/235036/18150/69241/20115/20055/20104/102462/20042/66181/20116/20103/74097/22185/66538/68011/107686/234384/66475/16418/68077/67671/69731/117109/20085/20054/67025/22121/57294/19942/57808/20068/66481/76846/20044/66448/50783/66489/54127"
"GO:0033108","mitochondrial respiratory chain complex assembly",95,-0.78573166762422,-2.41223403260736,4.39350834879024e-15,3.48734725185225e-12,3.13846800336608e-12,2064,"tags=56%, list=9%, signal=51%","69487/17993/68002/66826/66278/70316/68493/75597/66046/226646/66928/66377/225887/52892/68332/68197/214489/66706/67267/69875/107197/208501/68653/66218/20930/67130/68033/66495/68375/66916/100503890/75406/52469/595136/70207/66414/68194/100042503/100041273/17991/104130/66487/66433/66091/67264/68342/67184/68202/72170/230075/66379/54405/407785"
"GO:0140236","translation at presynapse",46,-0.906164527860503,-2.39662800124434,9.26535406683312e-15,6.53722203604337e-12,5.88322891565345e-12,1242,"tags=89%, list=6%, signal=84%","66480/27370/19896/267019/19941/27207/68436/100503670/269261/27176/67115/26451/110954/20088/78294/67186/20005/67097/20055/19934/20042/20103/270106/19944/65019/19951/67671/22121/26961/19943/57294/19942/19982/57808/22186/67281/20044/54217/66489/54127/19981"
"GO:0015986","proton motive force-driven ATP synthesis",57,-0.866732295318313,-2.42258157720832,1.52252525195687e-14,9.66803534992612e-12,8.70083115039352e-12,1991,"tags=82%, list=9%, signal=75%","17993/66945/72900/70316/11950/66046/11946/226646/11947/71679/66925/66377/225887/67942/66416/68197/28080/11958/69875/66043/11957/66218/57423/67680/67126/67130/66495/214917/78330/68375/66916/75406/595136/66414/68194/17991/228033/17995/104130/66091/67264/68342/67184/68202/230075/54405/407785"
