"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"mmu03010","Ribosome - Mus musculus (house mouse)",130,-0.859457269713492,-2.78153576953522,2.17310978384034e-31,7.45376655857235e-29,6.06183255492304e-29,2692,"tags=85%, list=12%, signal=76%","56284/64659/27397/19988/66845/319195/68735/69527/121022/68028/27367/27395/67891/268449/108168140/66292/216767/66258/353242/67941/67707/66419/66480/225215/27370/19896/267019/19941/27207/68436/619547/100503670/269261/27176/67115/66407/68052/26451/110954/20088/50529/94064/75617/67994/67681/11837/19935/78294/20091/94066/67186/24030/20005/67097/19933/68611/20115/19921/20055/20104/19934/19946/20042/76808/20116/100040298/20084/20103/27398/270106/67427/19944/56040/65019/78523/66475/94065/19951/67945/67671/27050/20085/20054/67025/22121/26961/19943/57294/19942/19982/57808/22186/67281/100502825/56282/20068/66483/68463/67248/66481/76846/16898/20044/114641/54217/20090/66242/66448/66489/54127/19981"
"mmu00190","Oxidative phosphorylation - Mus musculus (house mouse)",115,-0.81968856208499,-2.59235950606096,5.32901045584561e-22,9.13925293177522e-20,7.43256721473203e-20,1991,"tags=65%, list=9%, signal=60%","17993/70383/12858/66945/72900/12869/70316/21871/12866/66142/11950/66046/11946/226646/66694/67895/11947/22273/71679/76252/66925/66377/225887/67942/66416/68197/114143/28080/11958/12864/69875/20463/67530/12867/66043/11957/66218/57423/67680/67126/110323/67130/66576/12868/66495/78330/68375/66916/75406/66445/22272/595136/66414/76429/68194/100042503/100041273/69802/66152/17991/228033/17995/104130/12857/12865/66091/67264/68342/67184/17992/68202/230075/54405/407785/66594"
"mmu05012","Parkinson disease - Mus musculus (house mouse)",238,-0.644711812587111,-2.26933393988556,8.0026797577215e-17,9.14973052299492e-15,7.44108819577613e-15,3150,"tags=48%, list=14%, signal=42%","19184/19166/69077/66108/22123/26440/22154/26443/67003/14977/19182/66052/50868/12862/11740/227613/19179/19170/17993/67414/12858/66945/232943/72900/12869/70316/11911/19172/69806/12866/64704/22145/66142/11950/66046/11946/226646/66694/56436/11947/26444/17463/22273/71679/26446/66925/66377/225887/67942/13163/16594/19173/66416/68197/12315/28080/72002/12864/69875/20463/78294/67530/12867/56551/66043/11957/66218/67680/67126/20422/110323/12048/67130/19175/66576/22213/12868/66495/12028/20655/78330/68375/57320/66916/67151/75406/66445/22272/595136/66414/22166/68194/100042503/100041273/140499/66152/17991/228033/17995/104130/12857/12865/66091/67264/22186/68342/67184/75600/17992/68202/230075/54405/407785/66594"
"mmu05208","Chemical carcinogenesis - reactive oxygen species - Mus musculus (house mouse)",203,-0.647733368219989,-2.19962823645157,8.31340157107722e-15,7.12874184719872e-13,5.79750372719859e-13,2631,"tags=48%, list=12%, signal=43%","66052/50868/12862/26417/11740/14863/26396/13521/29857/20779/26416/58810/17993/26400/11651/14866/12858/66945/20656/72900/12869/70316/19094/18709/12866/14867/66142/11950/66046/14784/11946/226646/66694/68312/26415/11947/18710/66447/22273/71679/66925/103140/66377/225887/67942/66416/13057/68197/28080/12864/69875/20463/67530/12867/66043/11957/66218/67680/67126/110323/67130/66576/12868/66495/14873/20655/78330/68375/66916/75406/66445/22272/595136/66414/68194/100042503/100041273/66152/17991/228033/17995/104130/12857/12865/66091/67264/68342/67184/17992/68202/18753/230075/15461/54405/407785/12015/66594"
"mmu05020","Prion disease - Mus musculus (house mouse)",240,-0.589011084816435,-2.06823314165051,4.65597678887229e-12,3.19400007716639e-10,2.59754494537086e-10,3150,"tags=46%, list=14%, signal=40%","19184/19166/69077/13001/66108/22123/26440/22154/26443/67003/19182/66052/12862/26417/11740/227613/19179/19170/29857/26416/17993/12858/66945/232943/72900/12869/70316/11911/19094/19172/18709/12866/22145/66142/208677/11950/66046/11946/226646/66694/56436/26415/11947/26444/18710/17463/22273/71679/26446/66925/66377/225887/67942/16594/19173/66416/13057/68197/28080/12864/69875/20463/67530/12913/12867/66043/11957/66218/67680/67126/20422/110323/67130/19175/66576/12868/66495/12028/20655/78330/68375/66916/67151/75406/66445/22272/595136/66414/68194/100042503/100041273/66152/17991/228033/17995/104130/12857/12865/66091/67264/68342/67184/17992/68202/18753/230075/54405/407785/12015/66594"
"mmu04714","Thermogenesis - Mus musculus (house mouse)",211,-0.600512485198549,-2.04772141278885,2.90309910196783e-11,1.42251855996424e-09,1.15687407822778e-09,2148,"tags=45%, list=10%, signal=41%","29857/26416/69487/17993/70383/12858/66945/72900/67605/12869/70316/19094/12866/66142/208677/68493/11950/75597/66046/14784/11946/226646/66694/26415/11947/22273/71679/66925/66377/19082/69893/225887/67942/66416/68197/28080/66706/11958/12864/69875/20463/208501/214663/57279/67530/12913/12867/66043/11957/66218/57423/67680/67126/110323/67130/68033/66576/20104/12868/66495/78330/68375/66916/75406/66445/22272/52469/595136/66414/68194/100042503/100041273/69802/66152/17991/228033/17995/104130/12857/67892/12865/66091/67264/68342/67184/17992/68202/230075/66379/15461/54405/407785/14526/66594"
"mmu05016","Huntington disease - Mus musculus (house mouse)",273,-0.565811498733068,-2.01238453162346,2.72813162479395e-11,1.42251855996424e-09,1.15687407822778e-09,3094,"tags=46%, list=14%, signal=40%","19166/69077/66108/22123/56087/21780/26440/22154/26443/56208/20021/67003/19182/237336/18181/66052/12862/54130/22030/11740/227613/68922/19179/18797/12757/19170/69654/17993/232910/26400/12858/66945/232943/20022/20656/72900/54152/12869/70316/170770/67710/19172/12866/22145/66142/208677/11950/66046/11946/226646/66694/217864/56436/11947/26444/17463/22273/71679/26446/66925/66377/22428/225887/67942/16594/19173/66416/68197/17749/28080/12864/69875/20463/226977/67530/12913/12867/66043/11957/66218/69241/67680/67126/20422/110323/67130/19175/66576/12868/66495/12028/20655/78330/68375/66916/74325/67151/75406/66445/22272/69920/595136/66414/68194/100042503/100041273/66152/17991/228033/17995/104130/68118/12857/66420/12865/69833/66091/67264/68342/67184/17992/68202/230075/54405/407785/66594"
"mmu05014","Amyotrophic lateral sclerosis - Mus musculus (house mouse)",327,-0.534987364891602,-1.92529680040232,4.28800590584613e-11,1.83848253213153e-09,1.49515995401214e-09,3094,"tags=39%, list=14%, signal=34%","19166/69077/66108/22123/56087/26440/22154/26443/56208/67003/19182/56491/66052/11465/12862/54130/22030/68942/94232/227613/68922/19179/66734/19170/29857/26416/69654/17993/17274/53333/18391/12858/66945/232943/18643/72900/54152/12869/70316/11911/19094/19172/12866/22145/66142/11950/103172/66046/11946/226646/66694/56436/26415/11947/26444/17463/22273/71679/26446/66925/66377/22428/225887/67942/13163/16594/19173/66416/68197/21681/18141/28080/12864/69875/20463/56488/226977/67530/12867/641376/66043/11957/12460/66218/67680/67126/20422/110323/12048/67130/19175/66576/12868/66495/12028/20655/78330/68375/66916/67151/75406/66445/22272/595136/66414/68194/100042503/100041273/66152/17991/228033/17995/104130/68118/12857/12865/66091/67264/68342/67184/170722/17992/68202/230075/54405/407785/12015/66594"
"mmu05022","Pathways of neurodegeneration - multiple diseases - Mus musculus (house mouse)",432,-0.461426417700184,-1.67564871387789,1.1030884698445e-08,4.20399272396293e-07,3.41892917554143e-07,3047,"tags=34%, list=14%, signal=30%","69077/13001/66108/22123/56087/26440/22154/26443/56208/67003/19182/56491/13544/66052/12862/26417/54130/22030/68942/14102/11740/26396/227613/11596/68922/19179/12018/18797/66734/19170/29857/26416/69654/17993/17274/67414/53333/18391/26400/12858/66945/232943/72900/54152/12869/70316/11911/19094/19172/12866/212398/64704/22145/66142/11950/66046/11946/226646/53313/66694/56436/15108/26415/14367/11947/26444/17463/22273/71679/26446/66925/66377/13542/22428/12006/225887/67942/13163/16594/19173/66416/68197/12568/12315/28080/12864/69875/20463/78294/14082/14370/226977/67530/12867/641376/66043/11957/12460/66218/67680/67126/20422/110323/12048/67130/12005/19175/66576/22213/12868/66495/12028/20655/78330/68375/57320/66916/67151/75406/66445/22272/595136/66414/68194/100042503/100041273/140499/66152/17991/228033/17995/104130/68118/12857/12865/66091/67264/22186/68342/67184/75600/17992/68202/230075/15461/54405/407785/12015/66594"
"mmu04932","Non-alcoholic fatty liver disease - Mus musculus (house mouse)",146,-0.608237373028005,-1.98338906822312,3.25967191958156e-08,1.11806746841648e-06,9.09276903883279e-07,2148,"tags=48%, list=10%, signal=44%","29857/18770/26416/17993/11651/12858/66945/72900/12869/70316/11911/19094/18709/12866/66142/66046/226646/66694/26415/18710/22273/66925/19013/66377/19082/225887/66416/68197/12864/69875/21428/20463/67530/12867/66218/67680/110323/67130/66576/12868/66495/12028/78330/68375/66916/75406/66445/22272/595136/66414/68194/100042503/100041273/66152/17991/17995/104130/12857/12865/66091/67264/68342/67184/17992/68202/230075/54405/407785/26403/66594"
