Gene stable ID	Mouse gene stable ID
MGP_BALBcJ_G0030692	ENSMUSG00000043505
MGP_BALBcJ_G0014501	
MGP_BALBcJ_G0009037	ENSMUSG00000065502
MGP_BALBcJ_G0028411	ENSMUSG00000070923
MGP_BALBcJ_G0023559	ENSMUSG00000024369
MGP_BALBcJ_G0040156	
MGP_BALBcJ_G0006447	ENSMUSG00000086136
MGP_BALBcJ_G0003088	
MGP_BALBcJ_G0040045	
MGP_BALBcJ_G0028202	ENSMUSG00000110970
MGP_BALBcJ_G0011358	
MGP_BALBcJ_G0038116	ENSMUSG00000064403
MGP_BALBcJ_G0019540	ENSMUSG00000051235
MGP_BALBcJ_G0003818	
MGP_BALBcJ_G0001425	
MGP_BALBcJ_G0010764	
MGP_BALBcJ_G0001739	
MGP_BALBcJ_G0014605	
MGP_BALBcJ_G0036899	ENSMUSG00000090203
MGP_BALBcJ_G0012285	
MGP_BALBcJ_G0005627	ENSMUSG00000097576
MGP_BALBcJ_G0024314	ENSMUSG00000102222
MGP_BALBcJ_G0018849	ENSMUSG00000034177
MGP_BALBcJ_G0002433	ENSMUSG00000076904
MGP_BALBcJ_G0000069	ENSMUSG00000076676
MGP_BALBcJ_G0011176	
MGP_BALBcJ_G0028786	ENSMUSG00000062545
MGP_BALBcJ_G0008292	ENSMUSG00000093118
MGP_BALBcJ_G0010380	
MGP_BALBcJ_G0039121	ENSMUSG00000077441
MGP_BALBcJ_G0033474	ENSMUSG00000085795
MGP_BALBcJ_G0023401	ENSMUSG00000037805
MGP_BALBcJ_G0026995	ENSMUSG00000038671
MGP_BALBcJ_G0017939	ENSMUSG00000034164
MGP_BALBcJ_G0037506	ENSMUSG00000077511
MGP_BALBcJ_G0039249	ENSMUSG00000084745
MGP_BALBcJ_G0040233	
MGP_BALBcJ_G0040166	
MGP_BALBcJ_G0033387	ENSMUSG00000039814
MGP_BALBcJ_G0030714	ENSMUSG00000029832
MGP_BALBcJ_G0028049	ENSMUSG00000028228
MGP_BALBcJ_G0015043	ENSMUSG00000102009
MGP_BALBcJ_G0011170	
MGP_BALBcJ_G0032717	ENSMUSG00000057770
MGP_BALBcJ_G0013067	
MGP_BALBcJ_G0039233	ENSMUSG00000088796
MGP_BALBcJ_G0029582	ENSMUSG00000001260
MGP_BALBcJ_G0034214	ENSMUSG00000000738
MGP_BALBcJ_G0015559	ENSMUSG00000107112
MGP_BALBcJ_G0024728	ENSMUSG00000032648
MGP_BALBcJ_G0011995	
MGP_BALBcJ_G0028907	ENSMUSG00000028836
MGP_BALBcJ_G0022674	ENSMUSG00000075286
MGP_BALBcJ_G0000800	
MGP_BALBcJ_G0004741	
MGP_BALBcJ_G0033898	ENSMUSG00000055994
MGP_BALBcJ_G0019238	ENSMUSG00000069631
MGP_BALBcJ_G0031985	ENSMUSG00000074220
MGP_BALBcJ_G0026902	ENSMUSG00000074575
MGP_BALBcJ_G0021949	ENSMUSG00000022562
MGP_BALBcJ_G0028747	ENSMUSG00000042677
MGP_BALBcJ_G0013544	
MGP_BALBcJ_G0017037	ENSMUSG00000039166
MGP_BALBcJ_G0018679	ENSMUSG00000020841
MGP_BALBcJ_G0037525	ENSMUSG00000093831
MGP_BALBcJ_G0004310	
MGP_BALBcJ_G0019286	ENSMUSG00000018800
MGP_BALBcJ_G0005776	ENSMUSG00000100454
MGP_BALBcJ_G0005154	ENSMUSG00000087085
MGP_BALBcJ_G0003875	
MGP_BALBcJ_G0036106	ENSMUSG00000031430
MGP_BALBcJ_G0037769	ENSMUSG00000088653
MGP_BALBcJ_G0012793	
MGP_BALBcJ_G0012253	
MGP_BALBcJ_G0015471	ENSMUSG00000085558
MGP_BALBcJ_G0012892	
MGP_BALBcJ_G0015382	ENSMUSG00000086206
MGP_BALBcJ_G0039195	ENSMUSG00000088303
MGP_BALBcJ_G0001765	
MGP_BALBcJ_G0031364	ENSMUSG00000071150
MGP_BALBcJ_G0030248	ENSMUSG00000106247
MGP_BALBcJ_G0014303	
MGP_BALBcJ_G0018738	ENSMUSG00000070354
MGP_BALBcJ_G0007516	ENSMUSG00000096946
MGP_BALBcJ_G0025108	ENSMUSG00000090369
MGP_BALBcJ_G0007809	ENSMUSG00000092725
MGP_BALBcJ_G0007263	
MGP_BALBcJ_G0026836	ENSMUSG00000070533
MGP_BALBcJ_G0016391	ENSMUSG00000016528
MGP_BALBcJ_G0037438	ENSMUSG00000064777
MGP_BALBcJ_G0023122	ENSMUSG00000068039
MGP_BALBcJ_G0011771	
MGP_BALBcJ_G0032166	ENSMUSG00000066500
MGP_BALBcJ_G0003294	
MGP_BALBcJ_G0013523	
MGP_BALBcJ_G0039576	ENSMUSG00000077199
MGP_BALBcJ_G0020725	ENSMUSG00000021589
MGP_BALBcJ_G0037464	ENSMUSG00000065014
MGP_BALBcJ_G0029938	ENSMUSG00000041740
MGP_BALBcJ_G0039388	ENSMUSG00000064451
MGP_BALBcJ_G0000793	
MGP_BALBcJ_G0005533	ENSMUSG00000099528
MGP_BALBcJ_G0016180	ENSMUSG00000026228
MGP_BALBcJ_G0000809	
MGP_BALBcJ_G0040673	
MGP_BALBcJ_G0027854	ENSMUSG00000062006
MGP_BALBcJ_G0004406	
MGP_BALBcJ_G0023946	ENSMUSG00000052105
MGP_BALBcJ_G0019795	ENSMUSG00000059970
MGP_BALBcJ_G0019571	
MGP_BALBcJ_G0014434	
MGP_BALBcJ_G0034331	ENSMUSG00000031934
MGP_BALBcJ_G0037767	ENSMUSG00000065018
MGP_BALBcJ_G0016496	ENSMUSG00000033952
MGP_BALBcJ_G0012677	
MGP_BALBcJ_G0019105	ENSMUSG00000014198
MGP_BALBcJ_G0031007	ENSMUSG00000061653
MGP_BALBcJ_G0009212	ENSMUSG00000065513
MGP_BALBcJ_G0004348	
MGP_BALBcJ_G0021622	ENSMUSG00000044819
MGP_BALBcJ_G0026782	ENSMUSG00000035877
MGP_BALBcJ_G0040515	
MGP_BALBcJ_G0013724	
MGP_BALBcJ_G0022379	ENSMUSG00000023047
MGP_BALBcJ_G0020613	ENSMUSG00000074871
MGP_BALBcJ_G0014348	
